params,feature,model,mean_test_average_precision,mean_test_f1,mean_test_precision,mean_test_recall,mean_test_roc_auc
"{'SVM__C': 1.1527907240346904, 'SVM__gamma': 0.008986713626315297, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_4,SVM,0.6991427945893239,0.5462638606441663,0.8242459989868791,0.4120782726045884,0.8612092208866404
"{'SVM__C': 19.54087990166659, 'SVM__gamma': 0.020312370155928218, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.7107046667191945,0.5384571467552824,0.7774105975238025,0.4145074224021592,0.8862944469226303
"{'SVM__C': 1.8801919641639735, 'SVM__gamma': 0.019055523026087946, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.7128644217772353,0.5555883884841396,0.7913686554990902,0.4300944669365722,0.8845045955742051
"{'SVM__C': 22.65060129650071, 'SVM__gamma': 0.015805535339821725, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.7100568073058029,0.5673084932300746,0.7540380298572518,0.4584345479082321,0.8848206123248568
"{'SVM__C': 36.16825498187677, 'SVM__gamma': 0.019928607960081078, 'SVM__kernel': 'rbf'}",feature_embedding_random_3_2,SVM,0.7166857955912731,0.5370481944703326,0.7827169853448626,0.4123481781376518,0.8844223037856315
"{'MLP__hidden_layer_sizes': (100,)}",feature_pc_avg_pad,MLP,0.6959023926444965,0.6296561127854439,0.6643866487959399,0.6009446693657219,0.8740290368940624
"{'XGBoost__learning_rate': 0.012160338334277866, 'XGBoost__loss': 'deviance', 'XGBoost__max_depth': 11, 'XGBoost__max_features': 0.5000000000000001, 'XGBoost__n_estimators': 71}",feature_AAcomposition,XGBoost,0.7352374114577466,0.544919102298417,0.8449965493443754,0.4045918367346939,0.8724629635738396
"{'XGBoost__learning_rate': 0.0180835332007315, 'XGBoost__loss': 'deviance', 'XGBoost__max_depth': 25, 'XGBoost__max_features': 0.5000000000000001, 'XGBoost__n_estimators': 101}",feature_AAcomposition,XGBoost,0.7029138370605336,0.5893389196170601,0.8141738877064965,0.4646683673469389,0.8611528838666691
"{'XGBoost__learning_rate': 0.007191915548451503, 'XGBoost__loss': 'deviance', 'XGBoost__max_depth': 41, 'XGBoost__max_features': 0.5500000000000002, 'XGBoost__n_estimators': 171}",feature_AAcomposition,XGBoost,0.6955633241880015,0.5648606756639037,0.8158053377197836,0.4356292517006802,0.8568908797355149
"{'XGBoost__learning_rate': 0.022458221117109108, 'XGBoost__loss': 'exponential', 'XGBoost__max_depth': 7, 'XGBoost__max_features': 0.3500000000000001, 'XGBoost__n_estimators': 91}",feature_AAcomposition,XGBoost,0.7390691307302857,0.5478978813428793,0.8144869114971416,0.4168367346938776,0.8742811846362109
"{'XGBoost__learning_rate': 0.07279463667233123, 'XGBoost__loss': 'deviance', 'XGBoost__max_depth': 15, 'XGBoost__max_features': 0.5000000000000001, 'XGBoost__n_estimators': 131}",feature_AAcomposition,XGBoost,0.7159056676421882,0.6343862846448328,0.770898106839508,0.5433248299319727,0.8626284052294289
"{'XGBoost__learning_rate': 0.04666122101238054, 'XGBoost__loss': 'exponential', 'XGBoost__max_depth': 49, 'XGBoost__max_features': 0.3500000000000001, 'XGBoost__n_estimators': 31}",feature_AAcomposition,XGBoost,0.6873185770741795,0.5553718111390085,0.8200244520596845,0.42317176870748296,0.8518058233231033
"{'XGBoost__learning_rate': 0.09367810530923379, 'XGBoost__loss': 'exponential', 'XGBoost__max_depth': 15, 'XGBoost__max_features': 0.5500000000000002, 'XGBoost__n_estimators': 161}",feature_AAcomposition,XGBoost,0.7147264512852158,0.6360777591881919,0.7630140670343628,0.5496173469387755,0.8623882879900044
"{'SVM__C': 7.915074397656213, 'SVM__gamma': 0.06173770394704572, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7163510783906937,0.6309407610746871,0.7249134498147656,0.5600340136054421,0.8678185507320745
"{'SVM__C': 0.09865570677198547, 'SVM__gamma': 0.2813815513117021, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7060264761749544,0.5400830825280969,0.4549618954935554,0.8314200680272108,0.8591328862124351
"{'SVM__C': 1.9411739809629627, 'SVM__gamma': 0.05069041070711455, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7277017543069391,0.6682060779666736,0.7084437903730221,0.6347363945578232,0.8730133429688927
"{'SVM__C': 9.420121790275632, 'SVM__gamma': 0.032204108362516734, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7141628146235911,0.6667088995283449,0.6876535219264889,0.6492346938775511,0.8657689438922119
"{'SVM__C': 28.185562669967428, 'SVM__gamma': 0.010327268550128367, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.6931283356224391,0.6832263513885392,0.6533533783110674,0.7176020408163266,0.8587846438264004
"{'SVM__C': 75.72868182332346, 'SVM__gamma': 0.03539166910822008, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7098307168415736,0.6685315489374303,0.7075941323376194,0.6367772108843537,0.8564222356207809
"{'SVM__C': 3.019055038658139, 'SVM__gamma': 0.016860049029950277, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7166588626917583,0.6904027320333102,0.6261844582729956,0.7715986394557823,0.8770963602754319
"{'SVM__C': 4.891978993516622, 'SVM__gamma': 0.04603224516025263, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7275218520530817,0.6644593306981139,0.7096960356990196,0.6264030612244896,0.8701516409365471
"{'SVM__C': 1.2001913440860315, 'SVM__gamma': 0.08040461052901443, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7239792669458668,0.6219212176624933,0.7097314374626695,0.5558673469387756,0.8722516511992728
"{'SVM__C': 2.629171082722625, 'SVM__gamma': 0.07039689322628141, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7212350883469334,0.6224440895546589,0.7126899050879341,0.5537840136054422,0.869664312144877
"{'SVM__C': 10.408895582954854, 'SVM__gamma': 0.007016228391811996, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7014187182806081,0.6829250031280235,0.6100506000326428,0.7778061224489796,0.8734689306158288
"{'SVM__C': 1.1670137678830994, 'SVM__gamma': 0.01797749219488181, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7197537639643978,0.6772673975088388,0.5926374156708343,0.7922619047619047,0.8772836102233039
