params,feature,model,mean_test_average_precision,mean_test_f1,mean_test_precision,mean_test_recall,mean_test_roc_auc
"{'SVM__C': 72.9549527945879, 'SVM__gamma': 0.009477663858907128, 'SVM__kernel': 'rbf'}",feature_embedding_random_4_5,SVM,0.6758460976634412,0.6103230349439379,0.7522098171693374,0.5157219973009447,0.8502079160228565
"{'SVM__C': 2.8446000328279277, 'SVM__gamma': 0.020212474479548465, 'SVM__kernel': 'rbf'}",feature_embedding_random_4_3,SVM,0.7025631634897358,0.5471124210389411,0.7853351057155404,0.4224696356275304,0.8826481582933197
"{'SVM__C': 7.865012252635146, 'SVM__gamma': 0.003438658501573623, 'SVM__kernel': 'rbf'}",feature_embedding_scrambled_3_3,SVM,0.6636572216417318,0.6255217475786422,0.5977391994915355,0.6578947368421053,0.8516336775844418
"{'SVM__C': 31.55551805847732, 'SVM__gamma': 0.022931432038126986, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_4,SVM,0.7082915980994459,0.5409541108217665,0.7997287190307786,0.412280701754386,0.8807021501418785
"{'SVM__C': 34.527311473197024, 'SVM__gamma': 0.006770088834330852, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_4,SVM,0.6812495486273827,0.6305272908846403,0.7048241072761782,0.5722672064777328,0.8604862228885999
"{'SVM__C': 2.110827781876151, 'SVM__gamma': 0.024132443734861998, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_4,SVM,0.7072465199447582,0.5446150639545347,0.7886517827456043,0.4200404858299596,0.8808299651678257
"{'SVM__C': 78.71318938895647, 'SVM__gamma': 0.007315013099016569, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_4,SVM,0.6856144000451517,0.6302165864601061,0.7082993641753783,0.5697031039136302,0.8619946833019838
"{'SVM__C': 11.536370688976362, 'SVM__gamma': 0.012295137116991463, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_4,SVM,0.7038057213280869,0.6047180778806569,0.7502784141839614,0.5078272604588394,0.8739895277331611
"{'SVM__C': 12.396893360267766, 'SVM__gamma': 0.010524200264479037, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_4,SVM,0.700953550937646,0.6120160066667791,0.7385281803542674,0.5257759784075574,0.8710553057581919
"{'SVM__C': 40.99618062415668, 'SVM__gamma': 0.01636491850820723, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_4,SVM,0.7102152133493058,0.5765025238712492,0.7689917361221709,0.4639676113360324,0.8799602717599322
"{'SVM__C': 69.30371468587111, 'SVM__gamma': 0.022395525000804956, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_4,SVM,0.7103796321311875,0.5427178854621292,0.7967256230555463,0.4148448043184885,0.8811912450876797
"{'SVM__C': 25.012435434978403, 'SVM__gamma': 0.016076635835823628, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_4,SVM,0.7106242068526896,0.579364661337914,0.7651352657004831,0.4691632928475034,0.8798440523822528
"{'SVM__C': 3.6187157142991473, 'SVM__gamma': 0.02482160827915388, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_4,SVM,0.7069994361586825,0.5369646580734839,0.8131264921196271,0.4045883940620783,0.8805737556162004
"{'SVM__C': 14.716416099340274, 'SVM__gamma': 0.013188131507039179, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_4,SVM,0.7062881679374312,0.5985667162439551,0.7547397787397787,0.4975708502024291,0.8755244981390992
"{'SVM__C': 11.014063170228013, 'SVM__gamma': 0.01869877490034482, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_3,SVM,0.7050760504999473,0.5523864277897393,0.7838552986550698,0.4302968960863698,0.8815408530349107
"{'SVM__C': 11.476170734210202, 'SVM__gamma': 0.015612900934931619, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_3,SVM,0.7084667398934614,0.5814056248150461,0.7780995458041298,0.4690958164642375,0.8802880311539054
"{'SVM__C': 34.582984766084245, 'SVM__gamma': 0.010709061954438976, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_3,SVM,0.7026390452364699,0.6032496411419934,0.7365533376703362,0.5157219973009447,0.8733109222413127
"{'SVM__C': 22.423011497303712, 'SVM__gamma': 0.011027395529291271, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_3,SVM,0.7025998494814665,0.605089372964166,0.7413663574277385,0.5157219973009447,0.8738432846157803
"{'SVM__C': 1.3543728091274765, 'SVM__gamma': 0.003485956925262094, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_3,SVM,0.6380184199874178,0.5843416506174237,0.4775694757568648,0.7541835357624832,0.8468107585679743
"{'SVM__C': 4.494088625496122, 'SVM__gamma': 0.008809991831926886, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_3,SVM,0.6999978104452381,0.6225085609183579,0.7075814828362471,0.5597165991902835,0.8721295597441608
"{'SVM__C': 1.9197130423729483, 'SVM__gamma': 0.0031414032438770896, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_3,SVM,0.6400434820759364,0.5827746546149993,0.4819832374755975,0.7385964912280701,0.8486148769170841
"{'SVM__C': 46.64655680425897, 'SVM__gamma': 0.0123676177070207, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_3,SVM,0.7037506544758687,0.5989816287880956,0.7518562969597453,0.5027665317139001,0.8762389110606428
"{'SVM__C': 5.523673734924906, 'SVM__gamma': 0.017185507927029938, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_3,SVM,0.707097350271371,0.5568666425519769,0.7756544926409645,0.4379892037786775,0.881123822414145
"{'SVM__C': 46.875706083649774, 'SVM__gamma': 0.013516727780282345, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_3,SVM,0.7057018405664444,0.5972385634630845,0.7698485819735821,0.492442645074224,0.8777948084739255
"{'SVM__C': 12.106191257088389, 'SVM__gamma': 0.010858255909847748, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_3,SVM,0.7031832746163552,0.6037623973441576,0.7438565339179151,0.5131578947368421,0.8742929481384489
"{'SVM__C': 61.44108903268717, 'SVM__gamma': 0.017189575591212418, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_3,SVM,0.7067841324205866,0.5592992179089309,0.7771037680032833,0.4406207827260459,0.8812960186389727
"{'SVM__C': 0.8118302309177373, 'SVM__gamma': 0.0036104517775516773, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_2,SVM,0.6355076183906764,0.5696725666590863,0.4536656657145587,0.767004048582996,0.8462081014627703
"{'SVM__C': 10.519775039101898, 'SVM__gamma': 0.00985405308351175, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_2,SVM,0.7067097773457217,0.6126793455156088,0.7180369303888794,0.5392037786774628,0.8694615542917751
"{'SVM__C': 11.64148284922333, 'SVM__gamma': 0.012080734515623566, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_2,SVM,0.7141321421324717,0.5956206323299428,0.7242616371518049,0.5107962213225371,0.8744630016276875
"{'SVM__C': 2.1529051940723654, 'SVM__gamma': 0.016456053614250076, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_2,SVM,0.7138894275255956,0.5903566277460407,0.7360231526089727,0.4975708502024291,0.8816058305022653
"{'SVM__C': 3.3564734204855893, 'SVM__gamma': 0.017532314478427943, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_2,SVM,0.7161009405786238,0.5813908421560909,0.7607311209573894,0.4741565452091767,0.881370873043199
"{'SVM__C': 0.5391486558314876, 'SVM__gamma': 0.005410768861090138, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_2,SVM,0.6525505314160742,0.5693354902270011,0.4568227846362544,0.7566801619433199,0.8527439510122022
"{'SVM__C': 36.706310394793746, 'SVM__gamma': 0.009472501328483476, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_2,SVM,0.7058832757570821,0.6138693712209461,0.7198415788265622,0.5391363022941971,0.8688961152034157
"{'SVM__C': 51.907645459758164, 'SVM__gamma': 0.01086516659820747, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_2,SVM,0.7103290919319767,0.5988795460576372,0.7194854311424335,0.5185560053981106,0.8714845256610962
"{'SVM__C': 43.0345046842661, 'SVM__gamma': 0.022148234424964258, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_2,SVM,0.7154024274884362,0.5454173706047104,0.7883656968508227,0.4199730094466936,0.8829413229667897
"{'SVM__C': 44.052486670962786, 'SVM__gamma': 0.007015195727356538, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_2,SVM,0.6875572259461665,0.6250563014010961,0.7004965668828165,0.5676113360323886,0.862501669241907
"{'SVM__C': 0.8659798794088673, 'SVM__gamma': 0.0036204652580320035, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_2,SVM,0.6368176147611214,0.5714998726520186,0.45696643457164793,0.7643724696356275,0.8473221119570864
"{'SVM__C': 26.73786947390787, 'SVM__gamma': 0.015987319532746676, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_2,SVM,0.7179285739015229,0.5787271150342915,0.7496209492262124,0.4742240215924426,0.8802205999998869
"{'SVM__C': 0.39405723612395305, 'SVM__gamma': 0.00732958799527348, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_2,SVM,0.6594821559338384,0.5670536671495414,0.4587477099747419,0.7437246963562754,0.8545790598761738
"{'SVM__C': 9.142019213479532, 'SVM__gamma': 0.010625940027473125, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_2,SVM,0.7105573826804871,0.6040448919328331,0.7187148078058873,0.5263832658569501,0.8715185889379438
"{'SVM__C': 1.2063064721100702, 'SVM__gamma': 0.005775602312521082, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.6721189127893175,0.6105898113718833,0.5299923846723151,0.7230094466936572,0.8658363509721745
"{'SVM__C': 2.5277586398548277, 'SVM__gamma': 0.007050852831745938, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.695306776011369,0.6373393568580111,0.6455887432038061,0.6323211875843455,0.8770165459893813
"{'SVM__C': 19.998717375237337, 'SVM__gamma': 0.01949618923923703, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.7112564786822204,0.5493939933543267,0.7769980550850115,0.4274628879892037,0.8866355545982032
"{'SVM__C': 10.921683252631261, 'SVM__gamma': 0.002523533518821029, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.6765948644941594,0.6239586236502884,0.594113172409224,0.6582321187584346,0.8661971588117598
"{'SVM__C': 0.3737729191053966, 'SVM__gamma': 0.007658675634156857, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.6451851364678124,0.5693805607968018,0.4568276104183249,0.7567476383265858,0.8551890950023378
"{'SVM__C': 3.680035637239354, 'SVM__gamma': 0.018435779403032093, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.7131860312626376,0.5586306446774111,0.7715558523602002,0.4405533063427801,0.8868697516405497
"{'SVM__C': 0.9777781792614335, 'SVM__gamma': 0.008686628310522611, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.6803874771002052,0.6238779252769862,0.578687430819179,0.6789473684210526,0.8709758266634328
"{'SVM__C': 2.877241542131057, 'SVM__gamma': 0.0035293233550741255, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.6603618358748978,0.6027700049561107,0.5309138536502886,0.6997975708502024,0.8609786393572472
"{'SVM__C': 1.0082124225108775, 'SVM__gamma': 0.012224618060111363, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.6930969043876118,0.6335828221257899,0.6476988063891368,0.6216599190283401,0.8779211676834766
"{'SVM__C': 2.945871843536844, 'SVM__gamma': 0.004040161730247601, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.6695088002642571,0.613364797563533,0.5560192863017379,0.686774628879892,0.8641250543457675
"{'SVM__C': 6.595499952214177, 'SVM__gamma': 0.013695072403580085, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.7080376457980977,0.5867541234299449,0.7527994089244089,0.4842780026990553,0.8827782828377055
"{'SVM__C': 26.266619005633274, 'SVM__gamma': 0.014833724657862923, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.709067283826289,0.5820400847136149,0.7562728937728938,0.4765182186234818,0.8836389134351782
"{'SVM__C': 2.449206395004097, 'SVM__gamma': 0.003922822520202983, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.6639796855485591,0.6025279864122414,0.5333731995604433,0.6945344129554656,0.8621390946348502
"{'SVM__C': 47.38070282336656, 'SVM__gamma': 0.01990120723977672, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.7102487022109688,0.5384571467552824,0.7774105975238025,0.4145074224021592,0.8863316932077543
"{'SVM__C': 0.5367150477391326, 'SVM__gamma': 0.006627962716692433, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.6564213292131029,0.5849922485343118,0.4784018305731465,0.7541160593792172,0.8594023096315115
"{'SVM__C': 0.3216150950508727, 'SVM__gamma': 0.007313322494878463, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.6342280819805057,0.5625259655784742,0.4428938613698442,0.7724021592442646,0.850583527960438
"{'SVM__C': 45.65034353142628, 'SVM__gamma': 0.020872258539622754, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.7100093077885135,0.5376042547356367,0.7834431923799268,0.4119433198380566,0.8859600218683411
"{'SVM__C': 0.7176459489734514, 'SVM__gamma': 0.011035669625595226, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.6842648369446395,0.6235876093387034,0.5815121030059826,0.6736842105263159,0.8739677470237742
"{'SVM__C': 0.7177742290384791, 'SVM__gamma': 0.004032304900636663, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.6275072116757406,0.57001692424457,0.4530893598268359,0.7697031039136302,0.8495400835723416
"{'SVM__C': 5.721413555585302, 'SVM__gamma': 0.017128077610566603, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.7120607268684939,0.5576854187701027,0.7544308399457141,0.4456140350877192,0.886086443268107
"{'SVM__C': 7.298149577188997, 'SVM__gamma': 0.02178604400940789, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.7081449894822769,0.5397677162740983,0.7843662693030036,0.4145074224021592,0.885435758355962
"{'SVM__C': 9.906541313219636, 'SVM__gamma': 0.020601537687681595, 'SVM__kernel': 'rbf'}",feature_embedding_original_3_5,SVM,0.7104513848352626,0.5366438027582354,0.7797635387002729,0.4119433198380566,0.8860604703728642
"{'MLP__hidden_layer_sizes': (100,)}",feature_embedding_original_3_5,MLP,0.6857125623715988,0.6194901707689227,0.7070619818607196,0.5597840755735493,0.8628499400995157
"{'SVM__C': 0.44783891428840245, 'SVM__gamma': 0.007820145049040102, 'SVM__kernel': 'rbf'}",feature_embedding_scrambled_3_5,SVM,0.6459076008222651,0.5938582777938828,0.4990333370041589,0.7356275303643725,0.8577938614865609
"{'SVM__C': 5.974161999384933, 'SVM__gamma': 0.027080479976163436, 'SVM__kernel': 'rbf'}",feature_protparam,SVM,0.6697059626153307,0.6434442513667866,0.6791093544535717,0.6143724696356276,0.8599000108550193
"{'SVM__C': 1.0205077889862082, 'SVM__gamma': 0.0032477533847316505, 'SVM__kernel': 'rbf'}",feature_protparam,SVM,0.6109695408737812,0.5797129238734497,0.4584744234932534,0.7903508771929825,0.8489597343799382
"{'SVM__C': 9.885111290263671, 'SVM__gamma': 0.008220961745713991, 'SVM__kernel': 'rbf'}",feature_protparam,SVM,0.6544183261129021,0.6429236263003006,0.5922675088886269,0.7048582995951417,0.8576741863117074
"{'SVM__C': 6.807048875801796, 'SVM__gamma': 0.0019277483567054225, 'SVM__kernel': 'rbf'}",feature_protparam,SVM,0.6240233648994014,0.5865744855888867,0.4687697231320206,0.7852901484480432,0.8593701587037751
"{'RF__n_estimators': 71, 'RF__max_features': 0.25000000000000006, 'RF__max_depth': 25}",feature_protparam,RF,0.7062415509587572,0.6025791215743446,0.7387776895848425,0.5131578947368421,0.8893199726136908
"{'RF__n_estimators': 181, 'RF__max_features': 0.25000000000000006, 'RF__max_depth': 35}",feature_protparam,RF,0.7100702329293425,0.5885654140433225,0.7371133294753437,0.4948717948717949,0.8895556622211971
"{'RF__n_estimators': 101, 'RF__max_features': 0.20000000000000004, 'RF__max_depth': 19}",feature_protparam,RF,0.7090890850534267,0.6071907314713891,0.7360040269454716,0.5232793522267206,0.8871270099453461
"{'RF__n_estimators': 111, 'RF__max_features': 0.25000000000000006, 'RF__max_depth': 35}",feature_protparam,RF,0.7094230921010217,0.5887683327507609,0.7373920688818821,0.4948717948717949,0.8886290039897851
"{'RF__n_estimators': 171, 'RF__max_features': 0.25000000000000006, 'RF__max_depth': 45}",feature_protparam,RF,0.7095997171572246,0.5877866906608658,0.7346816740792834,0.4949392712550607,0.8892715363301102
"{'RF__n_estimators': 81, 'RF__max_features': 0.25000000000000006, 'RF__max_depth': 39}",feature_protparam,RF,0.7081993748985072,0.5938593623383397,0.7366210733312702,0.5026990553306343,0.8884635624703536
"{'RF__n_estimators': 91, 'RF__max_features': 0.3500000000000001, 'RF__max_depth': 15}",feature_protparam,RF,0.7055352787681116,0.6225246281496283,0.7189069203528031,0.5545883940620783,0.8875381084676501
"{'RF__n_estimators': 171, 'RF__max_features': 0.40000000000000013, 'RF__max_depth': 19}",feature_protparam,RF,0.7079556863049882,0.6017664814980569,0.7096852237222342,0.5284075573549257,0.8869699160488633
"{'RF__n_estimators': 61, 'RF__max_features': 0.20000000000000004, 'RF__max_depth': 31}",feature_protparam,RF,0.7008766718740864,0.6023195330690234,0.7432582694519814,0.5104588394062078,0.8859776626881889
"{'RF__n_estimators': 111, 'RF__max_features': 0.30000000000000004, 'RF__max_depth': 39}",feature_protparam,RF,0.7030960630020513,0.6092128089485033,0.7364020121014063,0.5234817813765182,0.8847055491198106
"{'RF__n_estimators': 51, 'RF__max_features': 0.45000000000000007, 'RF__max_depth': 13}",feature_protparam,RF,0.6990117789630516,0.6281559535168771,0.6968153070171967,0.5802294197031039,0.8841464039638913
"{'RF__n_estimators': 71, 'RF__max_features': 0.7000000000000002, 'RF__max_depth': 13}",feature_protparam,RF,0.6945606771668429,0.6304599299653323,0.6896317790994322,0.5856950067476384,0.8809026104060059
"{'RF__n_estimators': 111, 'RF__max_features': 0.20000000000000004, 'RF__max_depth': 29}",feature_protparam,RF,0.7122664235811782,0.5798857281882327,0.7318884602553958,0.4844129554655871,0.8889155651931544
"{'RF__n_estimators': 111, 'RF__max_features': 0.6000000000000002, 'RF__max_depth': 25}",feature_protparam,RF,0.701635987485811,0.605131640648192,0.7234102725231757,0.5261133603238866,0.8830480173476778
"{'RF__n_estimators': 171, 'RF__max_features': 0.6000000000000002, 'RF__max_depth': 7}",feature_protparam,RF,0.6791952691336094,0.6300915533948039,0.62057208410316,0.6451417004048583,0.8744709351203409
"{'RF__n_estimators': 131, 'RF__max_features': 0.5000000000000001, 'RF__max_depth': 9}",feature_protparam,RF,0.6978534835751764,0.6346283657420522,0.6593487440686083,0.6166666666666666,0.8815398339634333
"{'RF__n_estimators': 151, 'RF__max_features': 0.6000000000000002, 'RF__max_depth': 13}",feature_protparam,RF,0.7016340543059382,0.6147191474929945,0.6696013274157291,0.5728070175438597,0.884455014425303
"{'RF__n_estimators': 181, 'RF__max_features': 0.20000000000000004, 'RF__max_depth': 11}",feature_protparam,RF,0.7125677148632852,0.6261131354436981,0.7054960928742908,0.567408906882591,0.8858664015667411
"{'RF__n_estimators': 191, 'RF__max_features': 0.20000000000000004, 'RF__max_depth': 15}",feature_protparam,RF,0.710434664043308,0.6057728092233532,0.714753459786413,0.5310391363022942,0.8865433759788598
"{'RF__n_estimators': 191, 'RF__max_features': 0.25000000000000006, 'RF__max_depth': 27}",feature_protparam,RF,0.7072809883476568,0.5947108713565862,0.7394887158029173,0.5026315789473684,0.8891167349910983
"{'RF__n_estimators': 81, 'RF__max_features': 0.6500000000000001, 'RF__max_depth': 13}",feature_protparam,RF,0.6926982412499979,0.6295238374821573,0.6878543094060336,0.5857624831309042,0.8813280395326235
"{'MLP__hidden_layer_sizes': (100, 100)}",feature_protparam,MLP,0.6746000693507517,0.6351162440254824,0.6669832336322005,0.6091767881241565,0.8584868597729379
"{'SVM__C': 2.9440535913945363, 'SVM__gamma': 0.012529715971419862, 'SVM__kernel': 'rbf'}",feature_embedding_random_3_2,SVM,0.7125088452394946,0.5949343599989974,0.7166702015095884,0.5107287449392712,0.8793809868682534
"{'SVM__C': 2.357153870328578, 'SVM__gamma': 0.007922644663799851, 'SVM__kernel': 'rbf'}",feature_embedding_random_3_2,SVM,0.6937921184384608,0.6341404316926103,0.6785317388050403,0.6012145748987854,0.8662950349028448
"{'XGBoost__learning_rate': 0.056053362194352196, 'XGBoost__max_depth': 5, 'XGBoost__max_features': 0.2, 'XGBoost__n_estimators': 121}",feature_pc_avg_pad,XGBoost,0.7024461036901533,0.5882891915680171,0.7820698649176909,0.4741565452091768,0.8799000871793741
"{'MLP__hidden_layer_sizes': (100, 100)}",feature_pc_avg_pad,MLP,0.700130958629511,0.6370894507415487,0.6750079856504005,0.6062753036437247,0.8754089246916074
"{'SVM__C': 0.899933707042973, 'SVM__gamma': 0.005983633905537416, 'SVM__kernel': 'rbf'}",feature_embedding_scrambled_4_5,SVM,0.6141946430984564,0.5915528474171061,0.4938830872168172,0.7383940620782726,0.853423025757491
"{'SVM__C': 2.654945970943611, 'SVM__gamma': 0.014104415764567514, 'SVM__kernel': 'rbf'}",feature_embedding_original_4_2,SVM,0.7160540466416743,0.5923526276841128,0.7344436495815806,0.4975708502024291,0.8801361852635197
"{'SVM__C': 5.308940730901471, 'SVM__gamma': 0.009270631086836583, 'SVM__kernel': 'rbf'}",feature_embedding_original_4_2,SVM,0.7016215593456604,0.6095341268124173,0.7264128265340724,0.5261808367071524,0.8701830116685804
"{'SVM__C': 6.589371957625891, 'SVM__gamma': 0.010981859214656442, 'SVM__kernel': 'rbf'}",feature_embedding_original_4_2,SVM,0.7075753719789828,0.6007294853472835,0.7431056669467464,0.5052631578947369,0.8726795360836108
"{'SVM__C': 1.3321735631868066, 'SVM__gamma': 0.008749529947635783, 'SVM__kernel': 'rbf'}",feature_embedding_original_4_2,SVM,0.6850614243665311,0.6274803805789446,0.6114821949035052,0.6479082321187585,0.8685059281409029
"{'SVM__C': 99.28565976025145, 'SVM__gamma': 0.013451787971345957, 'SVM__kernel': 'rbf'}",feature_embedding_original_2_1,SVM,0.6828133507367996,0.6057824745837039,0.7417050034040881,0.5154520917678812,0.8547610680208304
"{'SVM__C': 9.000726590711901, 'SVM__gamma': 0.02356537612758261, 'SVM__kernel': 'rbf'}",feature_embedding_original_2_1,SVM,0.6855661647585624,0.5467338057947774,0.7954920724270569,0.4198380566801619,0.8653605251567901
"{'SVM__C': 0.837635390649738, 'SVM__gamma': 0.005459892834823985, 'SVM__kernel': 'rbf'}",feature_embedding_scrambled_4_3,SVM,0.61722521214663,0.5819722582769727,0.4733921927503754,0.7566126855600539,0.8519998903190753
"{'SVM__C': 0.002769889922756281, 'SVM__gamma': 0.003872118032174581, 'SVM__kernel': 'linear'}",feature_msa_avg,SVM,0.6232335433769236,0.6072926888237793,0.5229490693313233,0.7255735492577597,0.8570994808813145
"{'SVM__C': 0.0011972422479639326, 'SVM__gamma': 0.018629639119246217, 'SVM__kernel': 'linear'}",feature_msa_avg,SVM,0.629644251733775,0.5873462874591076,0.4838767748151177,0.751349527665317,0.8573232186602304
