Name,Developability Index (Fv)
12e8_clean,37.770218
15c8_clean,41.746149
1a0q_clean,33.594563
1a14_clean,38.346819
1a3l_clean,61.43761
1a3r_clean,39.996412
1a4j_clean,55.346515
1a4k_clean,50.20376
1a5f_clean,34.716066
1a7n_clean,38.267751
1a7o_clean,38.247047
1a7p_clean,37.7017
1a7q_clean,47.149763
1a7r_clean,38.632383
1aj7_clean,33.403717
1axs_clean,44.514203
1axt_clean,47.808743
1ay1_clean,57.308374
1b2w_clean,47.427583
1bfo_clean,31.605237
1bfv_clean,63.467308
1bgx_clean,63.68498
1bj1_clean,37.301105
1bql_clean,43.655692
1c1e_clean,64.062348
1cbv_clean,53.342819
1ce1_clean,17.736439
1cf8_clean,49.223934
1cfv_clean,63.056585
1clo_clean,32.842555
1cly_clean,55.318844
1clz_clean,53.263212
1cr9_clean,42.403954
1cu4_clean,42.577096
1d5b_clean,32.493437
1d5i_clean,40.42516
1d6v_clean,42.211287
1dba_clean,67.749271
1dbb_clean,68.578896
1dbj_clean,68.895854
1dbm_clean,69.919975
1dl7_clean,50.282046
1dlf_clean,54.511146
1dqd_clean,49.541641
1dql_clean,44.29043
1dsf_clean,72.502751
1e4w_clean,42.14349
1e4x_clean,39.676901
1egj_clean,37.572039
1ejo_clean,47.031442
1emt_clean,36.434238
1etz_clean,53.616282
1f4x_clean,49.342598
1f4y_clean,50.620217
1f8t_clean,50.865864
1f90_clean,47.523119
1fe8_clean,31.436003
1fgn_clean,32.752364
1fgv_clean,49.418085
1fh5_clean,39.376516
1fl6_clean,36.237972
1frg_clean,42.747071
1gc1_clean,38.458169
1ghf_clean,40.427664
1gig_clean,63.636811
1h3p_clean,39.843304
1him_clean,39.8268
1hkl_clean,31.74352
1i3g_clean,50.965864
1i9i_clean,52.945466
1i9j_clean,50.913861
1ifh_clean,40.997903
1igc_clean,36.127828
1igf_clean,52.531103
1igi_clean,51.08272
1igm_clean,51.390229
1ikf_clean,46.428509
1iqw_clean,34.59984
1j05_clean,60.744547
1j1o_clean,42.923245
1j1p_clean,43.084379
1j1x_clean,43.211133
1jfq_clean,37.544424
1jhk_clean,39.704096
1jhl_clean,45.966182
1jnh_clean,34.215377
1jps_clean,34.291583
1jpt_clean,34.295029
1k6q_clean,37.419668
1kb5_clean,31.57018
1kc5_clean,42.733151
1kcr_clean,30.581593
1kcs_clean,30.533888
1kcu_clean,43.047917
1kcv_clean,31.122977
1keg_clean,50.997349
1kel_clean,44.299041
1kem_clean,43.915908
1kn2_clean,61.303225
1ktr_clean,46.413942
1l7i_clean,46.189464
1l7t_clean,62.103444
1lo4_clean,57.683861
